### DATA:
#
# 913
#      Q             I(Q)           Error     
1.08960000E-02  4.48869257E+01  4.24012812E+00
1.14020000E-02  4.74546849E+01  3.93104141E+00
1.19090000E-02  4.68567768E+01  3.96572084E+00
1.24160000E-02  4.25840316E+01  2.89079161E+00
1.29230000E-02  4.25167521E+01  2.56310666E+00
1.34300000E-02  4.28862488E+01  3.56245882E+00
1.39360000E-02  4.42335395E+01  2.88791474E+00
1.44430000E-02  4.45233332E+01  2.44374794E+00
1.49500000E-02  4.20334171E+01  2.12810926E+00
1.54570000E-02  4.34284948E+01  1.75804730E+00
1.59630000E-02  4.18497584E+01  1.57801059E+00
1.64700000E-02  4.18237431E+01  1.35402150E+00
1.69770000E-02  4.19989195E+01  1.21827620E+00
1.74840000E-02  4.09473479E+01  1.08641015E+00
1.79900000E-02  4.08231277E+01  1.01868570E+00
1.84970000E-02  4.07276239E+01  8.90223374E-01
1.90040000E-02  4.04057641E+01  7.85901538E-01
1.95110000E-02  3.97901025E+01  7.55061642E-01
2.00180000E-02  4.02769984E+01  7.30613197E-01
2.05240000E-02  3.91899998E+01  6.54238704E-01
2.10310000E-02  3.79138618E+01  6.44804169E-01
2.15380000E-02  3.73873914E+01  5.67840749E-01
2.20450000E-02  3.76593279E+01  5.66691812E-01
2.25510000E-02  3.67968830E+01  5.35015534E-01
2.30580000E-02  3.64624397E+01  5.04063228E-01
2.35650000E-02  3.60206719E+01  5.11099940E-01
2.40720000E-02  3.50948330E+01  5.54801309E-01
2.45790000E-02  3.56274045E+01  5.71594359E-01
2.50850000E-02  3.47685883E+01  7.03872779E-01
2.55920000E-02  3.33468183E+01  7.01765246E-01
2.60990000E-02  3.34448702E+01  7.01900181E-01
2.66060000E-02  3.26030720E+01  5.39260393E-01
2.71120000E-02  3.23263704E+01  5.65115383E-01
2.76190000E-02  3.15781116E+01  5.03523265E-01
2.81260000E-02  3.17065480E+01  4.95007683E-01
2.86330000E-02  3.08146254E+01  4.39686732E-01
2.91390000E-02  3.06545725E+01  3.97269392E-01
2.96460000E-02  2.99281251E+01  3.86156727E-01
3.01530000E-02  2.97009585E+01  3.87346131E-01
3.06600000E-02  2.94398849E+01  3.49029489E-01
3.11670000E-02  2.86674315E+01  3.10252241E-01
3.16730000E-02  2.82329633E+01  3.12474705E-01
3.21800000E-02  2.79675319E+01  3.05510838E-01
3.26870000E-02  2.73167184E+01  3.01581033E-01
3.31940000E-02  2.63282772E+01  2.79372412E-01
3.37000000E-02  2.59180318E+01  2.62676671E-01
3.42070000E-02  2.59138465E+01  2.57568697E-01
3.47140000E-02  2.56241138E+01  2.61715485E-01
3.52210000E-02  2.45682322E+01  2.44085629E-01
3.57270000E-02  2.47678591E+01  2.36549735E-01
3.62340000E-02  2.45731791E+01  2.23855743E-01
3.67410000E-02  2.36417735E+01  2.29777543E-01
3.72480000E-02  2.31921988E+01  2.22741107E-01
3.77550000E-02  2.26659909E+01  2.13901415E-01
3.82610000E-02  2.21807765E+01  2.06536647E-01
3.87680000E-02  2.17935821E+01  2.03138921E-01
3.92750000E-02  2.12684681E+01  2.03514814E-01
3.97820000E-02  2.09682513E+01  1.98359194E-01
4.02880000E-02  2.04431780E+01  1.91796716E-01
4.07950000E-02  2.01600579E+01  1.89541930E-01
4.13020000E-02  1.99539982E+01  1.92378960E-01
4.18090000E-02  1.92518955E+01  1.89904626E-01
4.23150000E-02  1.90632914E+01  1.84177679E-01
4.28220000E-02  1.87369190E+01  1.80236107E-01
4.33290000E-02  1.82659472E+01  1.80746485E-01
4.38360000E-02  1.80989350E+01  1.81330573E-01
4.43430000E-02  1.75698787E+01  1.79118486E-01
4.48490000E-02  1.74064364E+01  1.78514774E-01
4.53560000E-02  1.74048826E+01  1.73106399E-01
4.58630000E-02  1.67254934E+01  1.73601463E-01
4.63700000E-02  1.65557614E+01  1.70722645E-01
4.68760000E-02  1.65132104E+01  1.67315491E-01
4.73830000E-02  1.58121426E+01  1.65551260E-01
4.78900000E-02  1.54164910E+01  1.64563537E-01
4.83970000E-02  1.51168856E+01  1.63391717E-01
4.89030000E-02  1.49145194E+01  1.61932273E-01
4.94100000E-02  1.45113102E+01  1.63423182E-01
4.99170000E-02  1.43842893E+01  1.58287757E-01
5.04240000E-02  1.37124670E+01  1.57098092E-01
5.09310000E-02  1.39183163E+01  1.55499727E-01
5.14370000E-02  1.37444757E+01  1.53126001E-01
5.19440000E-02  1.33482848E+01  1.51373041E-01
5.24510000E-02  1.29665001E+01  1.53749396E-01
5.29580000E-02  1.28781357E+01  1.48073584E-01
5.34640000E-02  1.25947974E+01  1.48611132E-01
5.39710000E-02  1.21138807E+01  1.48219166E-01
5.44780000E-02  1.21463294E+01  1.49271797E-01
5.49850000E-02  1.17830930E+01  1.45834784E-01
5.54910000E-02  1.14771994E+01  1.46079111E-01
5.59980000E-02  1.14779884E+01  1.45156245E-01
5.65050000E-02  1.11295413E+01  1.41294865E-01
5.70120000E-02  1.10609374E+01  1.45668471E-01
5.75190000E-02  1.07822703E+01  1.42988243E-01
5.80250000E-02  1.06137906E+01  1.38714063E-01
5.85320000E-02  1.03264022E+01  1.39400469E-01
